date,positive,negative,deaths
2/28/2020,1,2,0
2/29/2020,1,3,0
3/1/2020,2,3,0
3/2/2020,3,17,0
3/3/2020,3,29,0
3/4/2020,3,45,0
3/5/2020,3,45,0
3/6/2020,3,64,0
3/7/2020,7,82,0
3/8/2020,14,82,0
3/9/2020,14,165,0
3/10/2020,15,213,0
3/11/2020,19,286,0
3/12/2020,24,317,0
3/13/2020,30,337,0
3/14/2020,36,420,1
3/15/2020,39,579,1
3/16/2020,47,689,1
3/17/2020,65,968,1
3/18/2020,75,1118,3
3/19/2020,88,1900,3
3/20/2020,114,2003,3
3/21/2020,137,2338,4
3/22/2020,161,2864,5
3/23/2020,191,3649,5
3/24/2020,209,4350,8
3/25/2020,266,5476,10
3/26/2020,316,6953,11
3/27/2020,414,8510,12
